student_id_anon,seq,t0_time,t0_solution,t0_correctness,t1_time,t1_solution,t1_correctness,t2_time,t2_solution,t2_correctness,t3_time,t3_solution,t3_correctness,t4_time,t4_solution,t4_correctness,t5_time,t5_solution,t5_correctness,t6_time,t6_solution,t6_correctness,t7_time,t7_solution,t7_correctness,t8_time,t8_solution,t8_correctness,t9_time,t9_solution,t9_correctness,time_write_jv,time_write_py,time_read_jv,time_read_py,correctness_write_jv,correctness_write_py,correctness_read_jv,correctness_read_py,has_outlier,time_write_jv_outlier,time_write_py_outlier,time_read_jv_outlier,time_read_py_outlier,correctness_write_jv_outlier,correctness_write_py_outlier,correctness_read_jv_outlier,correctness_read_py_outlier
18,AB,934.57,A3: A5,0.03,314.341,"A0: 3 , A9:3",0.0,112.237,"0,3",0.0,155.915,"A4: 10, A7:10",0.0,23.226,"3,7",0.0,72.367,"[[6, 3], [2, 3], [2, 4], [2, 5], [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [6, 4], [6, 5], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [3, 3], [3, 4], [3, 5], [4, 5], [5, 5], [5, 4], [4, 4], [4, 3], [5, 3]]",0.2222222222222222,20.398,"[[0, 1], [0, 2], [1, 2], [1, 1]]",0.4285714285714285,131.829,"[[0, 0], [0, 5], [1, 5], [2, 5], [2, 4], [2, 3], [2, 2], [2, 1], [2, 0], [1, 0], [0, 1], [0, 2], [0, 3], [0, 4], [1, 4], [1, 3], [1, 2], [1, 1]]",0.4285714285714285,74.671,"[[2, 0], [3, 0], [4, 0]]",0.5,39.375,"[[0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4]]",0.4615384615384615,235.128,67.7315,47.5345,85.602,0.0,0.0,0.4642857142857143,0.445054945054945,True,True,False,False,False,False,False,True,False
54,BA,263.264, block DataSelector oftype CellRangeSelector {    select: range D4:F6;  },0.0,1026.653,"1:4, 0:",1.0,81.013,A1:D5,1.0,133.764,"0:, 4:7",0.75,56.63,D4:H9,1.0,15.27,"[[0, 2], [1, 2], [1, 1], [0, 1], [1, 0], [0, 0]]",0.2857142857142857,50.654,"[[3, 0], [4, 0], [5, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [4, 6], [4, 7], [4, 8], [3, 9], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [5, 4], [5, 3], [5, 2], [5, 1], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [3, 7], [3, 8], [4, 9]]",0.9285714285714286,35.701,"[[6, 0], [8, 0], [7, 0], [9, 0], [6, 1], [6, 2], [7, 2], [7, 1], [8, 1], [8, 2], [9, 2], [9, 1]]",0.9090909090909092,25.636,"[[0, 2], [0, 3], [0, 4], [0, 5], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5], [9, 4], [9, 3], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2], [1, 3], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [8, 3], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3], [2, 3]]",0.9285714285714286,58.758,"[[4, 4], [7, 8], [7, 7], [7, 6], [6, 6], [6, 5], [6, 4], [7, 4], [7, 5], [6, 8], [5, 8], [4, 8], [4, 7], [4, 6], [4, 5], [5, 4], [5, 5], [5, 6], [5, 7], [6, 7]]",0.8888888888888888,68.8215,580.2085,47.2295,38.145,1.0,0.875,0.898989898989899,0.9285714285714286,True,False,True,False,False,False,False,False,False
78,AB,145.081,"df.iloc[3:5,2:5]",0.0,68.257,"[row 1, row 2, row 3]",0.0,40.067,"0:3,0:4",0.6,71.134,"[E,F,G,H]",0.0,45.485,"3:8,3:7",0.6666666666666666,29.878,"[[2, 3]]",0.3333333333333333,70.078,"[[3, 0], [4, 0], [5, 0], [6, 0], [7, 0]]",0.6428571428571429,87.012,"[[6, 0], [7, 0], [8, 0], [9, 0], [6, 1], [6, 2], [7, 1], [7, 2], [8, 1], [8, 2], [9, 2], [9, 1]]",0.9090909090909092,183.34,"[[0, 2], [1, 2], [2, 2], [3, 2], [5, 2], [6, 2], [7, 2], [8, 2], [4, 2], [9, 2], [0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3]]",0.9285714285714286,49.805,"[[4, 4], [5, 4], [6, 4], [7, 4], [4, 5], [4, 6], [4, 7], [4, 8], [5, 5], [5, 6], [5, 7], [6, 7], [7, 8], [5, 8], [6, 8], [6, 5], [7, 5], [6, 6], [7, 7], [7, 6]]",0.8888888888888888,69.69550000000001,42.776,126.709,68.4085,0.0,0.6333333333333333,0.7857142857142858,0.898989898989899,True,False,False,True,False,False,False,False,False
50,AB,200.744,block ExampleDataSelector oftype CellRangeSelector {    select: range C4:E6; },0.0,106.999,A2:I4,0.0,317.1,"[0,5] , [ 0,4]",0.0434782608695652,52.242,E1:H*,1.0,540.208,"[3:9], [3:8]",0.0,26.109,"[[3, 3], [3, 4], [3, 5], [4, 3], [4, 4], [4, 5], [5, 5], [5, 4], [5, 3]]",0.2857142857142857,126.262,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9]]",0.9285714285714286,66.438,"[[6, 0], [7, 0], [8, 0], [9, 0], [6, 1], [7, 1], [8, 1], [6, 2], [7, 2], [8, 2], [9, 2], [9, 1]]",0.9090909090909092,44.885,"[[0, 2], [1, 2], [2, 2], [4, 2], [3, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [0, 3], [1, 3], [2, 3], [3, 3], [5, 3], [4, 3], [6, 3], [7, 3], [8, 3], [9, 3], [0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [8, 4], [7, 4], [9, 4]]",0.9285714285714286,64.087,"[[4, 4], [5, 4], [6, 4], [7, 4], [4, 5], [4, 6], [4, 7], [4, 8], [5, 8], [6, 8], [7, 8], [7, 7], [6, 7], [5, 7], [5, 6], [6, 6], [7, 6], [7, 5], [6, 5], [5, 5]]",0.8888888888888888,79.62049999999999,428.654,85.5735,65.2625,0.5,0.0217391304347826,0.9285714285714286,0.898989898989899,True,False,False,True,False,False,False,False,False
9,BA,548.571, block ExampleDataSelector oftype CellRangeSelector {    select: range D4:D6; range E4:E6; range F4:F6; },0.0,163.061,1:4,1.0,17.397,A1:D5,1.0,511.92,"{'Spain': [57, 24, 13, 57619], 'Denmark': [51, 26, 20, 28052], 'Hungary': [40, 30, 09, 65014], 'Finland': [54, 29, 4, 59960], 'Ger,many': [79, 20,14, 75000], 'France': [70, 24, 5, 54231], 'Netherlands': [26, 31, 9, 65014], 'Russia': [69, 18, 19, 38052], 'Sweden': [53, 22, 8, 51824], 'Turkiye': [61, 27, 12, 68700]}",0.0,30.114,D4:H9,1.0,15.05,"[[7, 7], [4, 7], [5, 5], [4, 4], [4, 5]]",0.2857142857142857,7.679,"[[3, 2], [3, 5], [3, 4], [3, 3]]",0.5,32.843,"[[0, 9], [0, 6], [0, 7], [1, 7], [2, 8], [2, 9], [0, 8], [1, 8], [1, 9], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7]]",0.7142857142857143,21.414,"[[0, 2], [1, 2], [4, 2], [5, 2], [7, 2], [3, 2], [2, 2], [6, 2], [0, 1], [9, 1], [8, 2], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 2], [0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]",0.9285714285714286,38.75,"[[4, 4], [7, 8], [6, 8], [5, 8], [4, 8], [4, 7], [4, 6], [4, 5], [4, 9], [5, 9], [6, 9], [6, 0], [6, 1], [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [7, 6], [6, 7], [7, 7], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [5, 0], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7]]",0.5714285714285714,23.7555,337.4905,35.7965,14.546500000000002,1.0,0.5,0.6428571428571428,0.7142857142857143,True,False,False,False,False,False,False,True,False
84,BA,308.179,block ExampleDataSelector oftype CellRangeSelector {    select: range D4:F6; },0.0,248.567,'Denmark' : 30.221,0.0,28.486,block ExampleDataSelector oftype CellRangeSelector {    select: range A1:B5;  },0.0,15.811,'57':'68700',0.0,25.774,block ExampleDataSelector oftype CellRangeSelector {    select: range D4:H9;  },0.0,40.661,"[[5, 5], [4, 5], [4, 6], [5, 6], [6, 6], [6, 5], [5, 3], [5, 4], [6, 4], [6, 3], [6, 2], [5, 2], [4, 3], [3, 2], [4, 2], [3, 3], [3, 4], [4, 4], [3, 5], [3, 6]]",0.2222222222222222,2.349,[],0.1538461538461538,16.566,"[[5, 0], [8, 2], [8, 1], [8, 0], [7, 0], [6, 0], [5, 1], [5, 2], [6, 2], [7, 2], [7, 1], [6, 1]]",0.75,7.79,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1]]",0.5714285714285714,18.875,"[[4, 4], [7, 5], [7, 4], [6, 4], [5, 4], [5, 5], [6, 5], [4, 5]]",0.7777777777777778,27.130000000000003,132.189,17.7205,5.0695,0.0,0.0,0.7638888888888888,0.3626373626373626,True,False,False,False,False,False,False,False,True
25,AB,12.669,Turkiye,0.0,55.368,Denmark1:Finland9,0.0,61.469,3,0.0,70.444,Spain4:Turkiye7,0.0,271.229,"4:3,9:7",0.0,6.374,"[[2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [5, 4], [6, 4], [7, 4], [7, 5], [7, 6], [8, 6]]",0.1818181818181818,53.693,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9]]",0.9285714285714286,67.205,"[[0, 3]]",0.3333333333333333,28.821,"[[0, 4], [0, 5], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [1, 3], [0, 3], [1, 4], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3]]",0.9285714285714286,19.35,"[[3, 8], [3, 9]]",0.3636363636363636,62.906000000000006,166.349,41.257,43.2775,0.0,0.0,0.9285714285714286,0.3484848484848485,True,False,False,False,False,False,False,False,True
44,AB,34.401400000005964,aaa,0.0,152.97580000001193,B1:D10,0.0,310.8638999999762,"0:4, 0:4",0.8,200.91160000002384,E:1H10,0.0,62.13419999998808,"3:7,3:8",0.6666666666666666,11.07040000000596,"[[2, 2], [3, 2], [4, 3], [5, 4]]",0.25,172.95909999999404,"[[3, 0], [3, 1], [3, 2], [3, 3], [3, 4]]",0.5714285714285714,40.41490000000596,"[[2, 6], [1, 6], [0, 7], [0, 8], [1, 8], [2, 7], [2, 8], [1, 7], [2, 9], [1, 9], [0, 9], [0, 6], [3, 6], [3, 7], [3, 8], [3, 9]]",0.8333333333333334,31.6955,"[[0, 2], [0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [9, 3], [8, 3], [7, 3], [6, 3], [5, 3], [4, 3], [3, 3], [2, 3], [1, 3], [0, 3], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2]]",0.9285714285714286,23.02330000001192,"[[9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [9, 7], [9, 6], [9, 5], [8, 5], [7, 5], [6, 5], [6, 6], [5, 6], [5, 7], [6, 7], [8, 6], [7, 6], [8, 7], [7, 7], [5, 5]]",0.8,176.94370000001788,186.49904999998213,102.32729999999702,31.71910000000894,0.0,0.7333333333333334,0.75,0.8166666666666667,True,False,False,True,False,False,False,False,False
58,BA,26.977,1233,0.0,326.236,":, [1, 0]] = df[['A', 'B']",0.0,80.868,A5:D5,0.2,151.389,":, [1, 0]] = df[['E, 'F', 'G', 'H']",0.0,129.453,D4:H8,0.8333333333333334,16.165,"[[0, 0], [1, 0], [2, 1], [2, 2], [3, 2], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7], [2, 7]]",0.1666666666666666,25.445,"[[0, 2], [1, 2], [2, 2], [3, 2], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [1, 4], [0, 4], [0, 3], [1, 3], [2, 3], [9, 3], [8, 3], [7, 3], [6, 3], [5, 3], [3, 3], [4, 2], [5, 2], [6, 2], [7, 2], [9, 2], [4, 3], [8, 2]]",0.9285714285714286,38.773,"[[6, 0], [7, 0], [8, 0], [9, 0], [9, 1], [8, 1], [7, 1], [6, 1], [5, 1], [4, 1], [3, 1], [2, 1], [1, 1], [0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2]]",0.7142857142857143,30.414,"[[0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [9, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 2], [8, 2], [7, 2], [6, 2], [5, 2], [4, 2], [3, 2], [2, 2], [1, 2], [0, 2], [0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [3, 4], [2, 4], [1, 4], [0, 4], [9, 3]]",0.9285714285714286,36.853,"[[4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5], [1, 5], [0, 5], [0, 6], [1, 6], [2, 6], [3, 6], [4, 6], [5, 6], [6, 6]]",0.5714285714285714,105.1605,238.8125,37.813,27.9295,0.5166666666666667,0.0,0.6428571428571428,0.9285714285714286,True,False,False,False,False,False,False,True,False
97,AB,7.842200000017882,asdasdsa,0.0,241.54819999998807,A2:J4,1.0,249.41239999997617,"0:5, 0:4",1.0,84.36560000002385,E1:H*,1.0,105.10959999999405,"3:8, 3:7",0.6666666666666666,18.50579999998212,"[[2, 8], [3, 8], [5, 7], [5, 6], [5, 5], [5, 4], [3, 7], [3, 4], [3, 2], [2, 6], [2, 5], [2, 4], [4, 4], [4, 7], [4, 9], [5, 9], [6, 8], [7, 7], [7, 6], [7, 5], [8, 5]]",0.1666666666666666,50.08309999999404,"[[3, 0], [4, 0], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 9], [4, 8], [3, 1], [3, 2], [3, 4], [3, 5], [3, 3], [3, 6], [3, 7], [3, 8], [3, 9]]",0.9285714285714286,84.77759999999404,"[[6, 9], [0, 2], [0, 3], [0, 4], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8]]",0.7142857142857143,44.1495,"[[0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [0, 3], [1, 3], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [0, 4], [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4]]",0.9285714285714286,185.42869999998808,"[[4, 7], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [4, 5], [4, 6], [4, 8], [4, 9], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [7, 9], [6, 9], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [6, 5], [7, 5], [7, 6], [7, 7], [7, 8], [6, 8], [6, 7], [6, 6]]",0.8,162.95690000000596,177.2609999999851,47.116299999997025,135.10314999999105,1.0,0.8333333333333333,0.9285714285714286,0.7571428571428571,True,False,False,False,True,False,False,False,False
